Date : 2024-06-25 21:35:15
Directory : d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\libs\webrtc
Total : 58 files,  -22464 codes, -355 comments, -487 blanks, all -23306 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON with Comments |          1 |        -17 |          0 |         -1 |        -18 |
| Java Properties    |          2 |        -19 |        -33 |        -14 |        -66 |
| Markdown           |          1 |        -31 |          0 |        -20 |        -51 |
| Batch              |          1 |        -41 |        -30 |        -22 |        -93 |
| XML                |         10 |        -94 |        -23 |         -6 |       -123 |
| TypeScript         |          6 |        -97 |        -14 |        -18 |       -129 |
| Gradle             |          3 |       -131 |        -70 |        -33 |       -234 |
| JavaScript         |         10 |       -859 |       -106 |       -170 |     -1,135 |
| TypeScript JSX     |         19 |     -1,295 |        -79 |       -200 |     -1,574 |
| JSON               |          5 |    -19,880 |          0 |         -3 |    -19,883 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |         58 |    -22,464 |       -355 |       -487 |    -23,306 |
| ..                                                                                                                            |         58 |    -22,464 |       -355 |       -487 |    -23,306 |
| ..\..                                                                                                                         |         58 |    -22,464 |       -355 |       -487 |    -23,306 |
| ..\.. (Files)                                                                                                                 |          6 |    -19,834 |          0 |        -25 |    -19,859 |
| ..\..\android                                                                                                                 |         16 |       -285 |       -156 |        -75 |       -516 |
| ..\..\android (Files)                                                                                                         |          4 |       -100 |        -66 |        -46 |       -212 |
| ..\..\android\app                                                                                                             |         11 |       -178 |        -90 |        -28 |       -296 |
| ..\..\android\app (Files)                                                                                                     |          1 |        -84 |        -67 |        -22 |       -173 |
| ..\..\android\app\src                                                                                                         |         10 |        -94 |        -23 |         -6 |       -123 |
| ..\..\android\app\src\debug                                                                                                   |          1 |         -5 |          0 |         -3 |         -8 |
| ..\..\android\app\src\main                                                                                                    |          9 |        -89 |        -23 |         -3 |       -115 |
| ..\..\android\app\src\main (Files)                                                                                            |          1 |        -34 |          0 |          0 |        -34 |
| ..\..\android\app\src\main\res                                                                                                |          8 |        -55 |        -23 |         -3 |        -81 |
| ..\..\android\app\src\main\res\drawable                                                                                       |          2 |        -15 |        -23 |         -3 |        -41 |
| ..\..\android\app\src\main\res\mipmap-anydpi-v26                                                                              |          2 |        -10 |          0 |          0 |        -10 |
| ..\..\android\app\src\main\res\values                                                                                         |          3 |        -29 |          0 |          0 |        -29 |
| ..\..\android\app\src\main\res\values-night                                                                                   |          1 |         -1 |          0 |          0 |         -1 |
| ..\..\android\gradle                                                                                                          |          1 |         -7 |          0 |         -1 |         -8 |
| ..\..\android\gradle\wrapper                                                                                                  |          1 |         -7 |          0 |         -1 |         -8 |
| ..\..\app                                                                                                                     |          7 |       -397 |        -14 |        -42 |       -453 |
| ..\..\app (Files)                                                                                                             |          3 |        -84 |        -11 |        -16 |       -111 |
| ..\..\app\(tabs)                                                                                                              |          4 |       -313 |         -3 |        -26 |       -342 |
| ..\..\components                                                                                                              |         21 |     -1,505 |       -142 |       -266 |     -1,913 |
| ..\..\components (Files)                                                                                                      |          6 |       -222 |         -2 |        -34 |       -258 |
| ..\..\components\__tests__                                                                                                    |          1 |         -7 |          0 |         -4 |        -11 |
| ..\..\components\call-strip                                                                                                   |          4 |       -355 |         -6 |        -46 |       -407 |
| ..\..\components\call-window                                                                                                  |          6 |       -541 |        -95 |       -111 |       -747 |
