"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-strip\call-events.js", "JavaScript", 77, 0, 2, 17, 96
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-strip\call-strip-chat.js", "JavaScript", 205, 0, 0, 22, 227
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-strip\call-strip-global.js", "JavaScript", 70, 0, 4, 5, 79
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-strip\index.js", "JavaScript", 3, 0, 0, 2, 5
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-window\call-window-audio.js", "JavaScript", -74, 0, -2, -11, -87
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-window\call-window-video.js", "JavaScript", -283, 0, -73, -75, -431
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-window\call-window.js", "JavaScript", -82, 0, -20, -23, -125
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-window\index.js", "JavaScript", -2, 0, 0, -2, -4
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-window\members.json", "JSON", 0, -32, 0, 0, -32
"d:\src\github-ramesh\POCs\webrtc-poc\webrtc-react-native-poc\components\call-window\temp.json", "JSON", 0, -68, 0, 0, -68
"Total", "-", -86, -100, -89, -65, -340
